,Border,Sector,State/Territory,Year & Type,Arrests,Year,Type
204,North,Buffalo,"NY, PA",2011 (All Illegal Immigrants),2114.0,2011 ,All Illegal Immigrants
205,North,Detroit,"OH, MI, IN, IL",2011 (All Illegal Immigrants),1531.0,2011 ,All Illegal Immigrants
206,North,Grand Forks,"WI, MN, ND",2011 (All Illegal Immigrants),468.0,2011 ,All Illegal Immigrants
207,North,Havre,MT,2011 (All Illegal Immigrants),270.0,2011 ,All Illegal Immigrants
208,North,Houlton,ME,2011 (All Illegal Immigrants),41.0,2011 ,All Illegal Immigrants
209,North,Spokane,"MT, ID, WA",2011 (All Illegal Immigrants),293.0,2011 ,All Illegal Immigrants
210,North,Swanton,"NH, VT, NY",2011 (All Illegal Immigrants),815.0,2011 ,All Illegal Immigrants
211,Southwest,Big Bend,TX,2011 (All Illegal Immigrants),4036.0,2011 ,All Illegal Immigrants
212,Southwest,Del Rio,TX,2011 (All Illegal Immigrants),16144.0,2011 ,All Illegal Immigrants
213,Southwest,El Centro,CA,2011 (All Illegal Immigrants),30191.0,2011 ,All Illegal Immigrants
214,Southwest,El Paso,"NM, TX",2011 (All Illegal Immigrants),10345.0,2011 ,All Illegal Immigrants
215,Southwest,Laredo,TX,2011 (All Illegal Immigrants),36053.0,2011 ,All Illegal Immigrants
216,Southwest,Rio Grande Valley,TX,2011 (All Illegal Immigrants),59243.0,2011 ,All Illegal Immigrants
217,Southwest,San Diego,CA,2011 (All Illegal Immigrants),42447.0,2011 ,All Illegal Immigrants
218,Southwest,Tucson,AZ,2011 (All Illegal Immigrants),123285.0,2011 ,All Illegal Immigrants
219,Southwest,Yuma,"CA, AZ",2011 (All Illegal Immigrants),5833.0,2011 ,All Illegal Immigrants
220,Coast,Miami,"FL, GA, SC, NC",2011 (Mexicans Only),1529.0,2011 ,Mexicans Only
221,Coast,New Orleans,"LA, AL, MS, FL",2011 (Mexicans Only),897.0,2011 ,Mexicans Only
222,Coast,Ramey,PR,2011 (Mexicans Only),3.0,2011 ,Mexicans Only
